,Location,Value
6,FASHION,1694656.6859411253
3,CIVIC CENTER,1597671.9310731925
1,CHELSEA,1561596.5121459197
11,GREENWICH VILLAGE-WEST,1559407.2379170777
25,SOHO,1539952.0382880205
20,MIDTOWN CBD,1535591.9288649643
22,MIDTOWN WEST,1533887.3378320436
8,FLATIRON,1522949.7188563447
30,UPPER WEST SIDE (59-79),1517591.2036862199
33,WASHINGTON HEIGHTS LOWER,1516840.322860211
24,MURRAY HILL,1514634.9888270162
26,TRIBECA,1511844.3641462922
21,MIDTOWN EAST,1510494.3846399107
18,LOWER EAST SIDE,1509265.6821481467
17,LITTLE ITALY,1507677.545939912
31,UPPER WEST SIDE (79-96),1507659.5105247062
27,UPPER EAST SIDE (59-79),1507484.5308838927
34,WASHINGTON HEIGHTS UPPER,1503643.7309545027
15,INWOOD,1503534.7537106795
2,CHINATOWN,1502247.7175909353
12,HARLEM-CENTRAL,1501350.7902637003
5,EAST VILLAGE,1501105.7507885534
32,UPPER WEST SIDE (96-116),1500216.534716583
29,UPPER EAST SIDE (96-110),1500169.2050286226
9,GRAMERCY,1499554.7900533583
7,FINANCIAL,1499426.5877791916
19,MANHATTAN VALLEY,1498833.7983076721
28,UPPER EAST SIDE (79-96),1498710.3332509275
10,GREENWICH VILLAGE-CENTRAL,1497350.7093646831
13,HARLEM-EAST,1494096.6446154888
4,CLINTON,1490851.1620897849
0,ALPHABET CITY,1490301.1987632068
16,KIPS BAY,1486623.0149744544
14,HARLEM-UPPER,1482836.045130025
23,MORNINGSIDE HEIGHTS,1480965.3965698201
